run_id,model_key,dataset_key,seed,rank,effective_bits_per_value,file_megabytes,truncated_bits_saved,random_mask_bits_saved,truncated_retained,random_mask_retained,retained_gain_points
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,1,2.225531005859375,0.729262,13400.242388366227,4186.749034994107,0.79494663568431,0.2483717804024648,54.657485528184516
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,2,1.1555374145507813,0.757293,11865.17670358697,4386.148321784298,0.7038814693758906,0.26020080465424467,44.36806647216459
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,2,1.1562225341796875,0.757742,11865.17670358697,4389.3422955907545,0.7038814693758906,0.26039028172923484,44.34911876466558
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,4,0.5796974182128907,0.759821,9183.354537199164,4404.1313190732135,0.5447869211664892,0.26126761544617144,28.35193057203178
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,8,0.29125289916992186,0.763502,6231.04075620012,4430.316213464233,0.369645917021134,0.2628209898627389,10.68249271583951
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,1,3.079376220703125,1.00905,14283.924041363527,5952.490722846007,0.8473695498904015,0.35312140907067724,49.42481408197242
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,2,1.6349014282226562,1.071449,13943.723459256347,6337.4358186454165,0.8271877277736063,0.3759576235181552,45.12301042554511
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,4,0.8304931640625,1.088544,11169.481816826301,6442.896425589292,0.6626105510100178,0.3822138950285902,28.039665598142758
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,1,3.5605682373046874,1.166727,14542.615738966997,6830.0766061550985,0.8627159957776698,0.40518270208626295,45.75332936914069
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,2,2.075053405761719,1.359907,15187.253025201091,7746.356872470264,0.9009580086515082,0.4595394736983599,44.141853495314834
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,4,1.0797256469726562,1.415218,13284.884770507691,8008.704826762418,0.7881032407993925,0.47510282080798155,31.300041999141097
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,8,0.5421222686767578,1.421141,9934.954989386053,8036.79845973366,0.5893743423136988,0.47676942790115084,11.260491441254787
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,16,0.27252674102783203,1.428825,6739.937077771698,8073.244766630677,0.39983532755721973,0.4789315431981141,-7.909621564089436
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,2,2.9329559326171877,1.922142,15852.189920488425,9761.32426017177,0.9404042613782458,0.5790739940035712,36.13302673746747
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,4,1.5607444763183593,2.045699,15292.869959934964,10118.477015512746,0.9072235540427523,0.6002614750248235,30.696207901792878
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,8,0.7931758880615234,2.079263,12843.036494752509,10215.496812693516,0.7618913417818465,0.6060170098225064,15.587433195934008
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,2,3.4260589599609377,2.245302,16054.083495556406,10755.05102305698,0.9523812550485922,0.638025147576053,31.435610747253925
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,1,7.404376220703125,2.426266,14775.545445353317,11331.539319610087,0.8765341552613741,0.6722243373051983,20.430981795617587
